ID,Type,Latitude,Longitude,Demand,Revenue,Note
C130,Customer,10.72857479205132,106.72403776579294,27,2835000,Customer in Quận 7 - Phú Mỹ Hưng
C155,Customer,10.726130466752654,106.70565917436242,38,3990000,Customer in Quận 7 - Phú Mỹ Hưng
C089,Customer,10.790565014016492,106.68220381282822,35,3675000,Customer in Quận 3
C040,Customer,10.777969765543585,106.70257547397237,46,4830000,Customer in Quận 1 - Trung tâm
C085,Customer,10.792250133545439,106.68175990313702,28,2940000,Customer in Quận 3
C292,Customer,10.84736047329044,106.75667886842126,17,1785000,Customer in Thủ Đức - Linh Trung
C047,Customer,10.774194578317982,106.70080764576484,48,5040000,Customer in Quận 1 - Trung tâm
C361,Customer,10.79101025902203,106.67373255690265,31,3255000,Customer in Phú Nhuận
C299,Customer,10.68426393012535,106.71300551126943,19,1995000,Customer in Nhà Bè - Quận 8
C260,Customer,10.856945233997878,106.74697125918286,19,1995000,Customer in Thủ Đức - Linh Trung
C211,Customer,10.807215763831007,106.65453095553556,27,2835000,Customer in Tân Bình - Sân bay
C235,Customer,10.80276579342388,106.66116130729337,26,2730000,Customer in Tân Bình - Sân bay
C348,Customer,10.755340565403388,106.64635889959067,26,2730000,Customer in Bình Tân
C351,Customer,10.762372227564303,106.64258149918673,17,1785000,Customer in Bình Tân
C330,Customer,10.717789280891656,106.72869606044999,18,1890000,Customer in Nhà Bè - Quận 8
C167,Customer,10.74691634006646,106.7150870716553,34,3570000,Customer in Quận 7 - Phú Mỹ Hưng
C016,Customer,10.7672123125513,106.68989957156047,43,4515000,Customer in Quận 1 - Trung tâm
C247,Customer,10.811270984285104,106.64283095114602,28,2940000,Customer in Tân Bình - Sân bay
C170,Customer,10.734806101127493,106.7159368730506,16,1680000,Customer in Quận 7 - Phú Mỹ Hưng
C241,Customer,10.803833785077902,106.65465574580043,45,4725000,Customer in Tân Bình - Sân bay
C280,Customer,10.866836566806821,106.76899565767843,28,2940000,Customer in Thủ Đức - Linh Trung
C052,Customer,10.782273443452562,106.69466838365751,46,4830000,Customer in Quận 1 - Trung tâm
C322,Customer,10.699195024812157,106.73510021852873,27,2835000,Customer in Nhà Bè - Quận 8
C261,Customer,10.86326582850085,106.75859866504244,7,735000,Customer in Thủ Đức - Linh Trung
C248,Customer,10.814781885893623,106.64997506759676,35,3675000,Customer in Tân Bình - Sân bay
C197,Customer,10.804671027950521,106.70490878948368,18,1890000,Customer in Bình Thạnh
C073,Customer,10.787871609755511,106.69425396750638,46,4830000,Customer in Quận 1 - Trung tâm
C017,Customer,10.766130682222764,106.69313325826909,26,2730000,Customer in Quận 1 - Trung tâm
C264,Customer,10.85931998629717,106.75726202513295,17,1785000,Customer in Thủ Đức - Linh Trung
C028,Customer,10.784274179498864,106.6973448899091,58,6090000,Customer in Quận 1 - Trung tâm
C156,Customer,10.749681903232874,106.70876042227759,26,2730000,Customer in Quận 7 - Phú Mỹ Hưng
C213,Customer,10.808415106954849,106.64336036692347,35,3675000,Customer in Tân Bình - Sân bay
C164,Customer,10.72783893980499,106.72178932988982,39,4095000,Customer in Quận 7 - Phú Mỹ Hưng
C237,Customer,10.805731284880816,106.65805631420983,34,3570000,Customer in Tân Bình - Sân bay
C054,Customer,10.788117340456964,106.70693348383452,38,3990000,Customer in Quận 1 - Trung tâm
C203,Customer,10.79200584364154,106.7004902277914,26,2730000,Customer in Bình Thạnh
C331,Customer,10.762268227784213,106.62501101838276,18,1890000,Customer in Bình Tân
C001,Customer,10.774363502971184,106.70876785766025,48,5040000,Customer in Quận 1 - Trung tâm
C019,Customer,10.772023362742186,106.69856740207895,45,4725000,Customer in Quận 1 - Trung tâm
C125,Customer,10.785795930304245,106.68396891043956,26,2730000,Customer in Quận 3
C039,Customer,10.767996634183342,106.6934403792851,40,4200000,Customer in Quận 1 - Trung tâm
C344,Customer,10.751620924318154,106.6266054960585,26,2730000,Customer in Bình Tân
C362,Customer,10.790686130507186,106.67807305209229,14,1470000,Customer in Phú Nhuận
H05,Hub,10.76,106.66,0,0,West Supply Station
C141,Customer,10.749054313711863,106.71437176448809,35,3675000,Customer in Quận 7 - Phú Mỹ Hưng
C006,Customer,10.772606056073988,106.69811891079081,37,3885000,Customer in Quận 1 - Trung tâm
C094,Customer,10.789879654869218,106.68041664502523,36,3780000,Customer in Quận 3
C290,Customer,10.855567531158485,106.74640897900326,14,1470000,Customer in Thủ Đức - Linh Trung
C231,Customer,10.822347314576273,106.65971493028061,24,2520000,Customer in Tân Bình - Sân bay
C367,Customer,10.794104399994223,106.67995686750237,15,1575000,Customer in Phú Nhuận
H01,Hub,10.7756,106.7004,0,0,Central Warehouse District 1
C003,Customer,10.766452090304206,106.70665440364436,58,6090000,Customer in Quận 1 - Trung tâm
C022,Customer,10.784281758667149,106.68685111629335,51,5355000,Customer in Quận 1 - Trung tâm
C031,Customer,10.787689161848151,106.69123230572872,57,5985000,Customer in Quận 1 - Trung tâm
C007,Customer,10.775798625466052,106.69228072850495,31,3255000,Customer in Quận 1 - Trung tâm
C368,Customer,10.792454357317874,106.67692214323125,10,1050000,Customer in Phú Nhuận
C075,Customer,10.77236122230174,106.69462744321504,37,3885000,Customer in Quận 1 - Trung tâm
C168,Customer,10.74260199420248,106.71032410403772,40,4200000,Customer in Quận 7 - Phú Mỹ Hưng
C018,Customer,10.785718437728798,106.69391883316734,34,3570000,Customer in Quận 1 - Trung tâm
C244,Customer,10.817680965857834,106.64381347607286,29,3045000,Customer in Tân Bình - Sân bay
C342,Customer,10.751739735198228,106.63225359639213,27,2835000,Customer in Bình Tân
C056,Customer,10.7782412644589,106.69104630727252,55,5775000,Customer in Quận 1 - Trung tâm
C227,Customer,10.80959728053433,106.65358882152785,29,3045000,Customer in Tân Bình - Sân bay
C133,Customer,10.742656055678912,106.70703371951605,19,1995000,Customer in Quận 7 - Phú Mỹ Hưng
C112,Customer,10.771779716211505,106.68137951260587,29,3045000,Customer in Quận 3
C186,Customer,10.794613025483908,106.69418698646673,29,3045000,Customer in Bình Thạnh
C356,Customer,10.799510085546494,106.67309978069575,28,2940000,Customer in Phú Nhuận
C346,Customer,10.759611731546533,106.63777223353979,23,2415000,Customer in Bình Tân
C339,Customer,10.751829736747956,106.64632382587892,15,1575000,Customer in Bình Tân
C315,Customer,10.693594998550722,106.73899067086114,19,1995000,Customer in Nhà Bè - Quận 8
C188,Customer,10.801563367903327,106.70494941876267,33,3465000,Customer in Bình Thạnh
C061,Customer,10.769040717852366,106.70746385471317,45,4725000,Customer in Quận 1 - Trung tâm
C300,Customer,10.70753609585711,106.72739309354415,28,2940000,Customer in Nhà Bè - Quận 8
C142,Customer,10.730589895962986,106.72908056348602,26,2730000,Customer in Quận 7 - Phú Mỹ Hưng
C284,Customer,10.845150378575449,106.75316921979558,23,2415000,Customer in Thủ Đức - Linh Trung
C113,Customer,10.791121882774236,106.67546543871471,29,3045000,Customer in Quận 3
C178,Customer,10.729547002109978,106.7136416820831,22,2310000,Customer in Quận 7 - Phú Mỹ Hưng
C281,Customer,10.852756405134077,106.74567407924961,23,2415000,Customer in Thủ Đức - Linh Trung
C137,Customer,10.735605550231174,106.72765885962737,29,3045000,Customer in Quận 7 - Phú Mỹ Hưng
C350,Customer,10.763949429233385,106.64040422315281,20,2100000,Customer in Bình Tân
C139,Customer,10.726407581892046,106.7079704479067,32,3360000,Customer in Quận 7 - Phú Mỹ Hưng
C081,Customer,10.778987278780493,106.68087183688529,39,4095000,Customer in Quận 3
C182,Customer,10.795158342960145,106.69728539722095,18,1890000,Customer in Bình Thạnh
C157,Customer,10.739853267883802,106.71452227141577,29,3045000,Customer in Quận 7 - Phú Mỹ Hưng
C256,Customer,10.84256049004236,106.77490622755539,15,1575000,Customer in Thủ Đức - Linh Trung
C005,Customer,10.78581106602001,106.69030847776696,37,3885000,Customer in Quận 1 - Trung tâm
C111,Customer,10.793536620219413,106.682722052756,37,3885000,Customer in Quận 3
C359,Customer,10.799489328397009,106.67898042158265,21,2205000,Customer in Phú Nhuận
C302,Customer,10.690885805489199,106.73360922667476,24,2520000,Customer in Nhà Bè - Quận 8
C087,Customer,10.781639950453311,106.68585289269414,41,4305000,Customer in Quận 3
C097,Customer,10.773910926066776,106.68000485796328,50,5250000,Customer in Quận 3
C175,Customer,10.737315452349822,106.71321879025719,20,2100000,Customer in Quận 7 - Phú Mỹ Hưng
C234,Customer,10.808552043717897,106.6605314326168,30,3150000,Customer in Tân Bình - Sân bay
C263,Customer,10.84465720737792,106.75045784391486,14,1470000,Customer in Thủ Đức - Linh Trung
C223,Customer,10.808970762103089,106.66193001352033,36,3780000,Customer in Tân Bình - Sân bay
C169,Customer,10.728409286889669,106.70536361664169,37,3885000,Customer in Quận 7 - Phú Mỹ Hưng
C307,Customer,10.689986720354367,106.72957699854572,22,2310000,Customer in Nhà Bè - Quận 8
C012,Customer,10.782105825662804,106.69600381234349,38,3990000,Customer in Quận 1 - Trung tâm
C126,Customer,10.741812961401926,106.72380936323594,20,2100000,Customer in Quận 7 - Phú Mỹ Hưng
