Ten_quan,Mon_an,Dia_chi,Co_so,Toa_do,Thoi_gian_mo_cua,Price,meal_type,cuisine
Bánh mì pate Hoàng Oanh,Bánh mì,8 Phan Văn Hân,"A, H","10.792965945777892, 106.70751606441773",14h-3h,25000,fast food,vietnamese
Bánh mì Kim Dung,Bánh mì,001 Lô L chung cư Ngô Gia Tự,B,"10.763035971530575, 106.67313032630565",6h-20h,30000,fast food,vietnamese
Cơm Tấm 2 Chị Em,Cơm tấm,682/20 Võ Văn Kiệt,B,"10.758552815673633, 106.69561235178075",16h-20h,65000,full meal,vietnamese
Lẩu cá dân ích,Lẩu cá,99 Châu Văn Liêm,B,"10.772575857917941, 106.76556421140246",16h-22h,350000,full meal,vietnamese
Bánh canh của 121,Bánh canh,121 Nguyễn Trãi,B,"10.762191997399778, 106.69604550666608",6h-10h,24000,full meal,vietnamese
Bánh mì Bà Hà,Bánh mì,"247 Hoàng Sa, Tân Định",A,"10.795360216393783, 106.68640315520324",06:00 - 17:00,20000,fast food,vietnamese
Thơm,Quán nước,42CT Tam Đảo,B,"10.78020804230009, 106.6648514122587",9h-24h,25000,snack,drinks
Bún bò Nam Hưng,Bún bò,"1 Công Trường Hoà Bình, P.19","A, H","10.792477431612225, 106.70845497787771",16h-21h,45000,full meal,vietnamese
Lẩu cù lao,Lẩu miền tây,"410 Nguyễn Xí, P.13","A, H","10.824028444810152, 106.7035404490427",15h30-22h,300000,full meal,vietnamese
Bếp Chảo nhà 56,Bánh mì chảo,53 Phan Đình Phùng,"A, H","10.793433918697724, 106.68602125218565",24/24,40000,full meal,vietnamese
Bánh Canh Càng Cúm,Bánh canh,108/22C Trần Quang DiệuPhường 14,A,"10.790260415650954, 106.67935809802415",08:00 - 21:00,55000,full meal,vietnamese
Bánh flan,Flan,"347/22 Minh Phụng, P.2",A,"10.758087633700303, 106.64348614904169",10:00 - 22:00,20000,snack,dessert
"Bún xào, mì xào, miến xào (ăn sáng)",Ăn sáng,"21 - 23 Nguyễn Thị Minh Khai , P. Bến Nghé",A,"10.770648186041187, 106.6872621913108",Sáng sớm,30000,fast food,vietnamese
Bò Kho Gánh,Bò kho,029 Lô H chung cư Ngô Gia Tự,B,"10.76198711178833, 106.67337164719325",11h-22h,50000,full meal,vietnamese
Bánh bò thốt nốt Baaboo,Bánh bò,"337/37 Nguyễn Đình Chiểu, P.5",A,"10.78665228570108, 106.68439201761696",,30000,snack,vietnamese
Bánh Xèo cô Nguyệt,Các loại bánh,023 Lô H chung cư Ngô Gia Tự,B,"10.762403741232394, 106.67345796059753",16h-20h,35000,full meal,vietnamese
Q Donuts,Mochi,"496 Nguyễn Tri Phương, Vườn Lài, Hồ Chí Minh, Việt Nam","A, H","10.767499228425809, 106.66790116623245",17h-hết,17000,snack,dessert
Trà sữa Together,Trà sữa,"200 Nguyễn Thượng Hiền, P. 5","A, H","10.79204928475001, 106.67372634663997",13:00 - 21:30,40000,snack,drinks
Bánh cuốn Quảng Đông,Bánh cuốn,"28 Dương Đình Nghệ, Q11",A,"10.761375998529795, 106.65095335428897",6h-15h,35000,full meal,vietnamese
Bánh mì Gánh siêu dài ngon,Bánh mì,"31 Tân Tiến, Tân Bình (6h-11h)",B,"10.773253332926869, 106.68669056858104",(6h-11h),25000,fast food,vietnamese
Lẩu Mini,Lẩu,577 Sư Vạn Hạnh Q10,B,"10.776962374386553, 106.66649655451265",10-22h,45000,full meal,vietnamese
Bánh bèo Dì Gái,Bánh bèo,"211/116 Hoàng Hoa Thám, Phú nhuận ","A, H","10.808784151252668, 106.6838852104105",14h-16h,30000,snack,vietnamese
Buffet YinShi,"Lẩu & Nướng, Dimsum","37B Đ. Cô Bắc, Phường Cầu Ông Lãnh",A,"10.765273950218766, 106.6953102624502",9h-21h30,269000,full meal,vietnamese
Bò bít tết cô út,bò,"009 Lô K chung cư Nguyễn Thiện Thuật, Q.3",A,"10.770246276885425, 106.67675161493757",6h-12h,80000,full meal,western
Đá me,Đá me,96 Cao Thắng,A,"10.77319672755609, 106.68790933496612",6h - 18h,18000,snack,drinks
